protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
OQW38018.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. SG-bin1	Nitrospira	1827376.0
CAL25215.1	Bacteria					uncultured bacterium		77133.0
AWX34411.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Candidatus Methyloumidiphilus alinensis	Candidatus Methyloumidiphilus	2202197.0
AWJ65949.1	Bacteria					uncultured bacterium		77133.0
WP_213440686.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. SM1	Mycolicibacterium	2816243.0
EGG41087.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosarchaeum limnium	Nitrosarchaeum	886738.0
OUR81311.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_120_T64	Cycloclasticus	1856281.0
AOR50860.1	Bacteria					uncultured bacterium		77133.0
SMR98711.1	Bacteria					uncultured bacterium		77133.0
ALF38511.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ADW80613.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides sp. CF8	Nocardioides	110319.0
ARX77558.1	Bacteria					uncultured bacterium		77133.0
WP_123175024.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis hirsuta	Methylocystis	369798.0
ADD97712.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ALN39811.1	Bacteria					uncultured bacterium		77133.0
ABC96851.1	Bacteria					uncultured bacterium		77133.0
AYE92780.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_023496394.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus morosus	Methyloglobulus	1410681.0
CDQ47648.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_081159634.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Ensifer aridi	Ensifer	1708715.0
