protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
PCI21475.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
WP_085769853.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
WP_202213630.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. AP8	Methylacidimicrobium	2730359.0
WP_075055902.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera viennensis	Nitrososphaera	1034015.0
WP_025041553.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae		Nitrosospira	35798.0
WP_063958190.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium manausense	Bradyrhizobium	989370.0
WP_090572383.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm33	Nitrosomonas	133724.0
THJ25131.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24E	Nitrospira	1985129.0
WP_133717447.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylocaldum	2622260.0
TMD91673.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
WP_196399963.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. H4A	Methylocystis	2785788.0
WP_028460735.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas cryotolerans	Nitrosomonas	44575.0
WP_008359138.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides luteus	Nocardioides	1844.0
WP_170954691.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas sp. AER18D-145	Polaromonas	1977060.0
BAL55374.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
WP_196392920.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylocystis	2625913.0
WP_134438935.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Phi	Methylacidiphilum	1847729.0
AAR98536.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas petroleovorans	Brachymonas	240505.0
WP_068635401.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera butanivorans	Thauera	86174.0
QMP83315.1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae sp.		2202564.0
TKB79806.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_026016154.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
CCD32212.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. SC2	Methylocystis	187303.0
PCJ15611.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
RLA42008.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_157337044.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium cajani	Bradyrhizobium	1928661.0
WP_104425414.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
WP_153247435.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira mobilis	Candidatus Methylospira	1808979.0
WP_113066342.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
WP_148701615.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera evergladensis	Nitrososphaera	1459637.0
WP_153249046.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira mobilis	Candidatus Methylospira	1808979.0
WP_119630573.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
CAE47799.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. SC2	Methylocystis	187303.0
SFP59699.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas cryotolerans	Nitrosomonas	44575.0
WP_020483903.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylomonas	2608980.0
WP_205451956.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas sp. EFPC1	Methylomonas	2812647.0
WP_108917548.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylosinus	425.0
GBC73611.1	Archaea					archaeon HR04		2035440.0
WP_075055000.1	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera viennensis	Nitrososphaera	1034015.0
WP_187099612.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium fluoranthenivorans	Mycolicibacterium	258505.0
ODT84993.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		Nitrosomonadales bacterium SCN 54-20		1660164.0
PCJ16718.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_096527390.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosoglobus terrae	Candidatus Nitrosoglobus	1630141.0
VUZ86660.1	Bacteria	candidate division NC10				Candidatus Methylomirabilis lanthanidiphila	Candidatus Methylomirabilis	2211376.0
PYO18019.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
WP_077728801.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum sp. 14B	Methylocaldum	1912213.0
PCI41274.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_134439085.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae		Methylacidiphilum	2628272.0
WP_212234185.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium manausense	Bradyrhizobium	989370.0
TMA51860.1	Bacteria	Proteobacteria	Deltaproteobacteria			Deltaproteobacteria bacterium		2026735.0
WP_029651883.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. SB2	Methylocystis	743836.0
PYR36642.1	Bacteria	Acidobacteria				Acidobacteria bacterium		1978231.0
WP_133880827.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Panacagrimonas perspica	Panacagrimonas	381431.0
WP_114970864.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax sp. OTU1	Rhodoferax	2109322.0
WP_020174571.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methyloferula stellata	Methyloferula	876270.0
WP_013817025.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas methanica	Methylomonas	421.0
WP_085772149.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
RLA23889.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
ORU94513.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Bathymodiolus heckerae	Cycloclasticus	1284675.0
WP_023496395.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus morosus	Methyloglobulus	1410681.0
TME38492.1	Bacteria	Chloroflexi				Chloroflexi bacterium		2026724.0
WP_026611454.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum szegediense	Methylocaldum	73780.0
WP_026610999.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum szegediense	Methylocaldum	73780.0
WP_011330983.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus oceani	Nitrosococcus	1229.0
WP_104955388.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
TFZ82520.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
ORU92163.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Poecilosclerida sp. N	Cycloclasticus	1840472.0
WP_202071102.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. Sn-Cys	Methylocystis	1701263.0
WP_084570631.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. PW1	Methylosinus	107636.0
WP_165961701.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga pseudoflava	Hydrogenophaga	47421.0
BAM38052.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea sp. ETY-M	Haliea	1055105.0
WP_011111979.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas europaea	Nitrosomonas	915.0
PKO92485.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-1		2013700.0
PZN85971.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Candidatus Methyloumidiphilus alinensis	Candidatus Methyloumidiphilus	2202197.0
PCI49705.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
RTL80976.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Hyphomicrobiales bacterium		1909294.0
KAF3981251.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Methylococcales symbiont of Hymedesmia sp. n. MRB-2018		2282321.0
KJV05400.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocucumis oryzae	Methylocucumis	1632867.0
WP_135281517.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
WP_033193892.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylomonas	416.0
WP_205754935.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus sp. DD4	Azoarcus	2027405.0
PCI68507.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
ACU64718.1	Bacteria					uncultured bacterium		77133.0
SFP46238.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas cryotolerans	Nitrosomonas	44575.0
PKO84335.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
WP_119629875.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
PCJ16606.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
ABK80714.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
PWB80204.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystaceae bacterium		2052174.0
TKB71775.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_097067392.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae			206379.0
OYV16138.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium NSP1-1		1917480.0
WP_159728947.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. Ce-a6	Methylosinus	2172005.0
OUR67820.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_83_sub15_T18	Cycloclasticus	1856280.0
WP_198323376.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp. BF19-07	Methylococcus	2743472.0
TKS61418.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
RYU57197.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium FWC3		2516328.0
WP_020158145.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylobacter	429.0
CAG1769398.1	Bacteria					uncultured bacterium		77133.0
TKB70022.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
PCJ20782.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
TAN65934.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp.	Methylobacter	2051955.0
WP_174582427.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Candidatus Methylacidithermus pantelleriae	Candidatus Methylacidithermus	2744239.0
WP_045226287.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloterricola oryzae	Methyloterricola	1495050.0
TPV99100.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
WP_064032849.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylosinus	2624500.0
WP_135281492.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
BBL71633.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylogaea oryzae	Methylogaea	1295382.0
TJY64782.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Sinimarinibacterium sp. CAU 1509	Sinimarinibacterium	2562283.0
PCI51492.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_018163235.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae	Smaragdicoccus niigatensis	Smaragdicoccus	359359.0
WP_074925769.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas eutropha	Nitrosomonas	916.0
KJB91174.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella aerolata	Skermanella	1385368.0
TFZ82314.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
WP_159726922.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. Ce-a6	Methylosinus	2172005.0
WP_202073845.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. Sn-Cys	Methylocystis	1701263.0
OTE97881.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Crenotrichaceae	Crenothrix sp. D3	Crenothrix	1880899.0
WP_084678932.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. ATCC 49242	Methylocystis	622637.0
BAE86877.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium japanense	Methylotuvimicrobium	81932.0
SNX60906.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas ureae	Nitrosomonas	44577.0
TAL46605.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum sp.	Methylovulum	1916980.0
WP_197743980.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Candidatus Nitrosacidococcus tergens	Candidatus Nitrosacidococcus	553981.0
WP_069436908.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Methyloceanibacter methanicus	Methyloceanibacter	1774968.0
WP_026223479.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylosarcina fibrata	Methylosarcina	105972.0
THJ16744.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24B	Nitrospira	1985132.0
WP_141018053.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus sp. DD4	Azoarcus	2027405.0
RLA52890.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_024298806.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium lacus	Methylomicrobium	136992.0
BAH28855.2	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylomarinovum caldicuralii	Methylomarinovum	438856.0
PWU25095.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
OUR85664.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
PCJ17158.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
1YEW_C	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus capsulatus	Methylococcus	414.0
WP_011379539.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
WP_175095839.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae		Methylocystis	2625913.0
RUM53390.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp.	Methylococcus	39769.0
PNE12141.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
OQW30258.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. SG-bin1	Nitrospira	1827376.0
WP_085214207.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
WP_084721372.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella aerolata	Skermanella	393310.0
BAH22835.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium ET-HIRO		557143.0
QMP83017.1	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae	Myoviridae sp.		2202564.0
TFE67099.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum fumariolicum	Methylacidiphilum	591154.0
PCI52102.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
TAN50027.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
WP_174513143.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocella tundrae	Methylocella	227605.0
WP_010834905.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides sp. CF8	Nocardioides	110319.0
WP_027150325.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
PWU24877.1	Bacteria	Candidatus Rokubacteria				Candidatus Rokubacteria bacterium		2053607.0
PCI44781.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_051332122.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum szegediense	Methylocaldum	73780.0
WP_019865960.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum miyakonense	Methylovulum	645578.0
WP_083967194.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. R-45379	Methylosinus	980563.0
WP_022947314.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylohalobius crimeensis	Methylohalobius	244365.0
SFW40269.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosovibrio sp. Nv17	Nitrosovibrio	1855339.0
WP_016921575.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
VVM08241.1	Bacteria	Verrucomicrobia				Methylacidimicrobium cyclopophantes	Methylacidimicrobium	1041766.0
PCI46238.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_112892675.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
WP_213440688.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. SM1	Mycolicibacterium	2816243.0
CAJ01564.1	Bacteria					uncultured bacterium		77133.0
WP_026607268.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa acidiphila	Methylocapsa	133552.0
WP_160810843.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. HPC101	Nitrosomonas	1658667.0
WP_064032588.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. R-45379	Methylosinus	980563.0
WP_087083801.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium dioxanotrophicus	Mycobacterium	482462.0
WP_139558060.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotetracoccus oryzae	Methylotetracoccus	1919059.0
WP_142526055.1	Bacteria	Verrucomicrobia				Methylacidimicrobium cyclopophantes	Methylacidimicrobium	1041766.0
PCJ15357.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_083561053.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Oceanococcus atlanticus	Oceanococcus	1317117.0
TKB61408.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
BBL77112.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
TKB80624.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
PKO83757.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
WP_090415689.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas halophila	Nitrosomonas	44576.0
QBR71546.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
RAN85632.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus sp. SRB_28	Bacillus	1969378.0
WP_084572853.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa aurea	Methylocapsa	663610.0
WP_107560873.1	Bacteria	candidate division NC10				Candidatus Methylomirabilis limnetica	Candidatus Methylomirabilis	2033718.0
SFI73397.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm34	Nitrosomonas	1881055.0
WP_134390358.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Yel	Methylacidiphilum	1847730.0
TDJ62484.1	Bacteria	Proteobacteria				Proteobacteria bacterium		1977087.0
WP_135281813.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Candidatus Macondimonas diazotrophica	Candidatus Macondimonas	2305248.0
TDI82925.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium		1891241.0
PCJ16607.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_204800248.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas nitrosa	Nitrosomonas	52442.0
WP_102810152.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium sp. ENV421	Mycobacterium	1213407.0
WP_205434055.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp. EFPC2	Methylococcus	2812648.0
PKO83144.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
TDI75975.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium		1891241.0
WP_014805762.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		Mycolicibacterium	1866885.0
WP_066887008.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces thermoautotrophicus	Streptomyces	1469144.0
WP_208964406.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Nocardiaceae		Rhodococcus	1827.0
